Date,Open,High,Low,Close,Adj Close,Volume
39085.00,6.376,6.402,6.207,6.23,6.23,2762000
39086.00,6.21,6.251,6.16,6.172,6.172,1609000
39087.00,6.081,6.081,5.97,6.021,6.021,3874000
39090.00,6.035,6.057,5.991,6.054,6.054,2234000
39091.00,6.017,6.112,6.017,6.094,6.094,1613000
39092.00,6.055,6.082,6.012,6.07,6.07,1574000
39093.00,6.078,6.108,6.059,6.075,6.075,1250000
39094.00,6.104,6.227,6.094,6.22,6.22,1883000
39098.00,6.235,6.235,6.18,6.2,6.2,1372000
39099.00,6.195,6.289,6.195,6.276,6.276,2386000
39100.00,6.298,6.313,6.214,6.225,6.225,5910000
39101.00,6.26,6.315,6.229,6.312,6.312,1524000
39104.00,6.31,6.344,6.271,6.284,6.284,1134000
39105.00,6.37,6.45,6.369,6.428,6.428,1222000
39106.00,6.386,6.444,6.34,6.441,6.441,1264000
39107.00,6.474,6.492,6.402,6.413,6.413,1276000
39108.00,6.418,6.434,6.382,6.418,6.418,706000
39111.00,6.395,6.431,6.37,6.386,6.386,986000
39112.00,6.405,6.43,6.375,6.43,6.43,904000
39113.00,6.4,6.498,6.4,6.485,6.485,1128000
39114.00,6.544,6.569,6.511,6.528,6.528,1145000
39115.00,6.478,6.479,6.385,6.435,6.435,1620000
39118.00,6.47,6.471,6.427,6.434,6.434,719000
39119.00,6.508,6.525,6.46,6.487,6.487,870000
39120.00,6.49,6.516,6.457,6.474,6.474,796000
39121.00,6.483,6.564,6.483,6.558,6.558,997000
39122.00,6.583,6.632,6.577,6.62,6.62,1544000
39125.00,6.58,6.6,6.544,6.573,6.573,768000
39126.00,6.617,6.628,6.562,6.592,6.592,778000
39127.00,6.628,6.67,6.605,6.645,6.645,1522000
39128.00,6.635,6.654,6.561,6.65,6.65,1905000
39129.00,6.603,6.689,6.587,6.642,6.642,1402000
39133.00,6.583,6.647,6.506,6.537,6.537,1533000
39134.00,6.563,6.8,6.548,6.736,6.736,2226000
39135.00,6.748,6.759,6.697,6.727,6.727,1160000
39136.00,6.79,6.83,6.764,6.778,6.778,1420000
39139.00,6.812,6.824,6.771,6.824,6.824,1270000
39140.00,6.7,6.833,6.515,6.575,6.575,4283000
39141.00,6.641,6.664,6.556,6.648,6.648,2542000
39142.00,6.665,6.669,6.55,6.587,6.587,1921000
39143.00,6.469,6.485,6.344,6.369,6.369,2635000
39146.00,6.295,6.378,6.278,6.302,6.302,2637000
39147.00,6.394,6.428,6.356,6.428,6.428,1160000
39148.00,6.398,6.469,6.394,6.445,6.445,1728000
39149.00,6.5,6.502,6.451,6.464,6.464,996000
39150.00,6.513,6.515,6.424,6.445,6.445,1137000
39153.00,6.42,6.476,6.407,6.453,6.453,571000
39154.00,6.457,6.472,6.371,6.384,6.384,637000
39155.00,6.38,6.406,6.312,6.406,6.406,1829000
39156.00,6.405,6.452,6.395,6.412,6.412,695000
39157.00,6.471,6.499,6.447,6.47,6.47,661000
39160.00,6.47,6.499,6.47,6.491,6.491,1057000
39161.00,6.531,6.554,6.519,6.525,6.525,669000
39162.00,6.563,6.6,6.515,6.584,6.584,844000
39163.00,6.6,6.623,6.567,6.585,6.585,1145000
39164.00,6.594,6.594,6.5,6.523,6.523,990000
39167.00,6.577,6.599,6.556,6.59,6.59,695000
39168.00,6.589,6.594,6.565,6.576,6.576,563000
39169.00,6.6,6.639,6.583,6.615,6.615,744000
39170.00,6.57,6.57,6.495,6.569,6.569,1052000
39171.00,6.582,6.627,6.555,6.583,6.583,744000
39174.00,6.543,6.607,6.509,6.591,6.591,669000
39175.00,6.591,6.621,6.579,6.591,6.591,672000
39176.00,6.651,6.696,6.651,6.689,6.689,1045000
39177.00,6.7,6.718,6.663,6.695,6.695,1233000
39181.00,6.684,6.724,6.65,6.66,6.66,1094000
39182.00,6.736,6.74,6.7,6.712,6.712,1046000
39183.00,6.739,6.749,6.687,6.712,6.712,520000
39184.00,6.708,6.75,6.659,6.706,6.706,608000
39185.00,6.764,6.8,6.726,6.791,6.791,812000
39188.00,6.804,6.853,6.774,6.844,6.844,1563000
39189.00,6.842,6.843,6.804,6.81,6.81,664000
39190.00,6.848,6.849,6.8,6.845,6.845,1089000
39191.00,6.776,6.79,6.73,6.765,6.765,1090000
39192.00,6.848,6.876,6.841,6.867,6.867,520000
39195.00,6.848,6.858,6.812,6.834,6.834,784000
39196.00,6.841,6.844,6.753,6.784,6.784,1746000
39197.00,6.805,6.806,6.777,6.799,6.799,1996000
39198.00,6.697,6.704,6.654,6.691,6.691,1054000
39199.00,6.725,6.762,6.692,6.76,6.76,1671000
39202.00,6.74,6.75,6.71,6.72,6.72,1117000
39203.00,6.685,6.696,6.666,6.68,6.68,747000
39204.00,6.628,6.679,6.614,6.674,6.674,653000
39205.00,6.68,6.768,6.674,6.758,6.758,695000
39206.00,6.822,6.846,6.807,6.826,6.826,1048000
39209.00,6.839,6.844,6.811,6.832,6.832,502000
39210.00,6.799,6.805,6.761,6.796,6.796,464000
39211.00,6.777,6.785,6.7,6.753,6.753,731000
39212.00,6.679,6.687,6.589,6.608,6.608,1894000
39213.00,6.637,6.67,6.618,6.655,6.655,1028000
39216.00,6.66,6.663,6.602,6.637,6.637,1122000
39217.00,6.651,6.677,6.619,6.666,6.666,877000
39218.00,6.625,6.63,6.538,6.569,6.569,1512000
39219.00,6.525,6.531,6.482,6.517,6.517,1532000
39220.00,6.532,6.572,6.511,6.56,6.56,834000
39223.00,6.516,6.579,6.516,6.577,6.577,2865000
39224.00,6.571,6.579,6.525,6.534,6.534,1470000
39225.00,6.562,6.592,6.553,6.564,6.564,1155000
39226.00,6.546,6.55,6.458,6.484,6.484,1439000
39227.00,6.491,6.505,6.477,6.499,6.499,1302000
39231.00,6.542,6.562,6.502,6.521,6.521,1445000
39232.00,6.472,6.491,6.465,6.479,6.479,1123000
